Date,Target,Volume,MA_20,MA_50,RSI,Volatility_30D,Month,DayOfWeek
2015-05-28,0,1189100.0,33.808335304260254,34.04113662719727,49.16082448616326,0.011718211826237728,5.0,2.0
2015-05-29,1,1642200.0,33.72659492492676,34.03717987060547,48.93114653633688,0.011722191527902012,5.0,3.0
2015-06-01,0,3410600.0,33.64138050079346,34.01485145568848,37.648869414931646,0.011975668157169007,5.0,4.0
2015-06-02,0,10234500.0,33.57515029907226,34.0091520690918,43.44938463126298,0.012386014910183518,6.0,0.0
2015-06-03,0,994300.0,33.50622291564942,34.01086502075195,45.07071137034081,0.012299458392765332,6.0,1.0
2015-06-04,0,1107400.0,33.45357341766358,34.013319396972655,46.634465175114926,0.01229542093132177,6.0,2.0
2015-06-05,0,1455400.0,33.41511001586914,33.98672119140625,43.88783661153336,0.012611055623961502,6.0,3.0
2015-06-08,1,1141400.0,33.35007877349854,33.94982238769531,31.181732818364722,0.012751968183703605,6.0,4.0
2015-06-09,0,2902800.0,33.202155685424806,33.90241020202637,25.94466264967545,0.013976722495191381,6.0,0.0
2015-06-10,0,2265900.0,33.0619384765625,33.85960472106934,30.001934210194534,0.014034477443808426,6.0,1.0
2015-06-11,0,3389500.0,32.93182716369629,33.81790176391601,19.705186157609774,0.01391516092980457,6.0,2.0
2015-06-12,0,1313000.0,32.80733642578125,33.77301162719726,20.24224936731261,0.013831187591242996,6.0,3.0
2015-06-15,0,1916000.0,32.67873315811157,33.73132564544678,21.28652618827806,0.013815430678843086,6.0,4.0
2015-06-16,0,1268700.0,32.513385963439944,33.683330612182615,22.3378483419349,0.013749949761421833,6.0,0.0
2015-06-17,0,1338900.0,32.35215158462525,33.62508701324463,22.169721252029376,0.013680232112048907,6.0,1.0
2015-06-18,1,1556000.0,32.199967002868654,33.559650344848635,20.91713038634221,0.013573036519780235,6.0,2.0
2015-06-19,1,1457600.0,32.00473108291626,33.49486919403076,23.95902557404557,0.012861314833371041,6.0,3.0
2015-06-22,1,7602300.0,31.876127624511717,33.438179397583006,31.8260577385643,0.014300540634862415,6.0,4.0
2015-06-23,1,4285700.0,31.82320556640625,33.39336769104004,41.463949043804796,0.014840473832036264,6.0,0.0
2015-06-24,0,1951900.0,31.79605941772461,33.35482284545898,46.6786251649799,0.015054402379506374,6.0,1.0
2015-06-25,0,2983200.0,31.798526573181153,33.32092727661133,56.754751312047084,0.015361043643993813,6.0,2.0
2015-06-26,0,1795300.0,31.781524848937988,33.27947074890137,58.07767204525834,0.015373104171607064,6.0,3.0
2015-06-29,1,1426500.0,31.774669647216797,33.22783790588379,68.2389208314193,0.015391825590394094,6.0,4.0
2015-06-30,1,1831700.0,31.706391716003417,33.15824974060059,57.631726155139916,0.015151986502499768,6.0,0.0
2015-07-02,0,2336200.0,31.64634017944336,33.08847839355469,58.74668717113161,0.015229768005922715,6.0,1.0
2015-07-03,0,1283600.0,31.60466060638428,33.02668838500976,62.938322570447916,0.015276824568165573,7.0,3.0
2015-07-06,1,339600.0,31.58491802215576,32.9576838684082,65.84735016093576,0.014397174001501456,7.0,4.0
2015-07-07,0,2744100.0,31.56133642196655,32.878040885925294,59.27700143126063,0.014550694872833976,7.0,0.0
2015-07-08,0,1277200.0,31.62687177658081,32.80850818634033,64.75133308250234,0.01468592900066799,7.0,1.0
2015-07-09,0,1076100.0,31.670471096038817,32.73099781036377,63.16999759323827,0.01471507847411769,7.0,2.0
2015-07-10,1,1487800.0,31.68527784347534,32.6557010269165,58.4472011578023,0.014933524457335586,7.0,3.0
2015-07-13,0,875900.0,31.717908668518067,32.59229331970215,52.23633082388518,0.014967848824395747,7.0,4.0
2015-07-14,1,1153300.0,31.800444889068604,32.550310134887695,50.26667285379822,0.015113923760402718,7.0,0.0
2015-07-15,1,784900.0,31.865980243682863,32.498810081481935,43.67737602154516,0.014848611215089878,7.0,1.0
2015-07-16,0,1134200.0,31.94522647857666,32.44831523895264,39.9602289077822,0.014885615244317094,7.0,2.0
2015-07-17,0,927500.0,32.0518931388855,32.416945152282715,48.00903111821866,0.015170532731416986,7.0,3.0
2015-07-20,0,867800.0,32.161576652526854,32.40550868988037,52.092871985385074,0.014753787561666468,7.0,4.0
2015-07-21,0,893600.0,32.18735218048096,32.37818016052246,51.79492655535654,0.015085948485001511,7.0,0.0
2015-07-22,0,733300.0,32.15664119720459,32.33414733886719,46.31522675793312,0.013641218312195292,7.0,1.0
2015-07-23,0,1281700.0,32.05271587371826,32.26753089904785,35.923639052205516,0.014933526759462601,7.0,2.0
2015-07-24,0,1761100.0,31.911499309539796,32.19848545074463,35.65170436985275,0.014973148112043555,7.0,3.0
2015-07-27,1,1674000.0,31.78947687149048,32.13684337615967,39.72254955521192,0.014941031753263606,7.0,4.0
2015-07-28,0,1179400.0,31.669647884368896,32.07564029693604,29.758320273152535,0.014858821237979939,7.0,0.0
2015-07-29,1,1197400.0,31.598353576660156,32.00489463806152,35.023687934099854,0.014971060476074,7.0,1.0
2015-07-30,1,1385100.0,31.518010234832765,31.93886531829834,39.19657469626137,0.014961439206812326,7.0,2.0
2015-07-31,1,824600.0,31.448360919952393,31.886436882019044,42.851756406239836,0.015190359420774511,7.0,3.0
2015-08-04,0,1270100.0,31.40832633972168,31.824356155395506,40.742790099030444,0.01535330659966817,7.0,4.0
2015-08-05,0,1619200.0,31.40997200012207,31.775766639709474,46.952346102510674,0.014330525510853663,8.0,1.0
2015-08-06,0,1470700.0,31.36253433227539,31.73441608428955,42.03294200048785,0.013634512487835765,8.0,2.0
2015-08-07,0,1186100.0,31.31427354812622,31.690652465820314,34.262828145561116,0.013426883936391541,8.0,3.0
2015-08-10,0,916900.0,31.27259349822998,31.641404304504395,30.92573247161637,0.013122594703300563,8.0,4.0
2015-08-11,0,1534600.0,31.229268646240236,31.59336280822754,37.46724822998852,0.013097611843104586,8.0,0.0
2015-08-12,0,1069300.0,31.15660390853882,31.55639949798584,40.28568750903633,0.013000254322734587,8.0,1.0
2015-08-13,1,1235100.0,31.090585231781006,31.50498405456543,50.69060533624733,0.012511676044300589,8.0,2.0
2015-08-14,0,650800.0,31.00638828277588,31.448381385803224,51.26979265417154,0.01244059055824033,8.0,3.0
2015-08-17,0,911500.0,30.922673511505128,31.404585189819336,57.22997945693393,0.012782982653772873,8.0,4.0
2015-08-18,0,583200.0,30.834289741516113,31.37318058013916,62.16403901062868,0.012751774056909764,8.0,0.0
2015-08-19,0,800700.0,30.763858222961424,31.343691940307618,52.60730472226944,0.012578094782830427,8.0,1.0
2015-08-20,0,1362000.0,30.67144775390625,31.321864166259765,42.38452113138956,0.012659309568632645,8.0,2.0
2015-08-21,0,1439300.0,30.584403705596923,31.27651699066162,28.11607593150255,0.013729292128153225,8.0,3.0
2015-08-24,0,1807600.0,30.51412992477417,31.23140655517578,23.555316990682925,0.013602057076526909,8.0,4.0
2015-08-25,1,2330500.0,30.39300355911255,31.171110229492186,14.40016766207934,0.014611670552763809,8.0,0.0
2015-08-26,1,2313800.0,30.28640260696411,31.118708076477052,15.348047845728402,0.013998472872620897,8.0,1.0
2015-08-27,1,1954400.0,30.180753231048584,31.07184154510498,21.854758596041165,0.014253187056085343,8.0,2.0
2015-08-28,1,2284500.0,30.125447463989257,31.048183670043944,38.77970146649038,0.01605834382406347,8.0,3.0
2015-08-31,0,1296500.0,30.065074253082276,31.03247978210449,41.21608324317096,0.015927320626928212,8.0,4.0
2015-09-01,0,2917100.0,30.00514163970947,31.024520378112793,45.0523586978095,0.016188170048993585,8.0,0.0
2015-09-02,1,1476700.0,29.88478422164917,30.979229278564453,40.34708206460515,0.01658503417306498,9.0,1.0
2015-09-03,0,1386500.0,29.782255363464355,30.918036003112793,41.57158827799197,0.01653792614590941,9.0,2.0
2015-09-04,0,1333000.0,29.720554161071778,30.86045036315918,42.51635392274035,0.015986265957591964,9.0,3.0
2015-09-08,0,1142500.0,29.671978855133055,30.790785217285155,42.0720814861643,0.01594123761846349,9.0,4.0
2015-09-09,0,920300.0,29.622347259521483,30.72969177246094,45.07828948098433,0.015951814694372922,9.0,1.0
